# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0.00750429 0.00166667
33 2.66699 0.0117586 0.00444444
34 2.74905 0.0398666 0.0144444
35 2.83112 0.06488 0.0316667
36 2.91318 0.088876 0.0566667
37 2.99524 0.136466 0.0972222
38 3.0773 0.180403 0.153889
39 3.15936 0.189763 0.216667
40 3.24142 0.223312 0.294444
41 3.32348 0.294257 0.402222
42 3.40555 0.283268 0.511111
43 3.48761 0.341653 0.648889
44 3.56967 0.364369 0.802778
45 3.65173 0.335713 0.951111
46 3.73379 0.342832 1.10944
47 3.81585 0.377609 1.29167
48 3.89791 0.431417 1.50889
49 3.97997 0.440319 1.74
50 4.06204 0.443067 1.98222
51 4.1441 0.480239 2.25556
52 4.22616 0.457125 2.52611
53 4.30822 0.501269 2.83444
54 4.39028 0.426322 3.10667
55 4.47234 0.471852 3.41944
56 4.5544 0.486521 3.75389
57 4.63647 0.465725 4.08556
58 4.71853 0.504253 4.45778
59 4.80059 0.525133 4.85889
60 4.88265 0.495078 5.25
61 4.96471 0.48562 5.64667
62 5.04677 0.511305 6.07833
63 5.12883 0.543587 6.55222
64 5.21089 0.509976 7.01111
65 5.29296 0.548076 7.52
66 5.37502 0.515898 8.01389
67 5.45708 0.581478 8.58778
68 5.53914 0.548588 9.14556
69 5.6212 0.558692 9.73056
70 5.70326 0.571629 10.3467
71 5.78532 0.586952 10.9978
72 5.86739 0.607216 11.6906
73 5.94945 0.594811 12.3883
74 6.03151 0.633121 13.1517
75 6.11357 0.631986 13.9344
76 6.19563 0.634508 14.7417
77 6.27769 0.641954 15.58
78 6.35975 0.676908 16.4872
79 6.44181 0.671631 17.4111
80 6.52388 0.71583 18.4206
81 6.60594 0.667664 19.3861
82 6.688 0.683291 20.3989
83 6.77006 0.719819 21.4922
84 6.85212 0.711197 22.5989
85 6.93418 0.712742 23.7344
86 7.01624 0.720637 24.91
87 7.09831 0.738893 26.1439
88 7.18037 0.761269 27.4444
89 7.26243 0.742797 28.7428
90 7.34449 0.775643 30.1294
91 7.42655 0.783337 31.5611
92 7.50861 0.800962 33.0578
93 7.59067 0.803846 34.5928
94 7.67273 0.800074 36.1539
95 7.7548 0.797843 37.7439
96 7.83686 0.818702 39.41
97 7.91892 0.801458 41.0756
98 8.00098 0.834494 42.8461
