# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0446658 0.00111111
35 2.83112 0.125403 0.00444444
36 2.91318 1.26634 0.04
37 2.99524 2.47033 0.113333
38 3.0773 4.15223 0.243333
39 3.15936 6.66108 0.463333
40 3.24142 7.96483 0.74
41 3.32348 10.4264 1.12111
42 3.40555 13.1149 1.62444
43 3.48761 14.6037 2.21222
44 3.56967 16.4998 2.90778
45 3.65173 16.9717 3.65667
46 3.73379 18.3106 4.50111
47 3.81585 18.9809 5.41556
48 3.89791 19.4079 6.39111
49 3.97997 18.9322 7.38333
50 4.06204 19.0899 8.42556
51 4.1441 18.4402 9.47333
52 4.22616 19.6273 10.6333
53 4.30822 19.8871 11.8544
54 4.39028 19.5673 13.1022
55 4.47234 19.3087 14.38
56 4.5544 20.1701 15.7644
57 4.63647 19.1515 17.1267
58 4.71853 18.8499 18.5156
59 4.80059 19.4989 20.0022
60 4.88265 18.5975 21.4689
61 4.96471 19.019 23.02
62 5.04677 18.8174 24.6056
63 5.12883 18.936 26.2533
64 5.21089 17.438 27.82
65 5.29296 17.6931 29.46
66 5.37502 17.088 31.0933
67 5.45708 17.0855 32.7767
68 5.53914 16.6072 34.4622
69 5.6212 15.9932 36.1344
70 5.70326 14.7951 37.7267
71 5.78532 15.5836 39.4522
72 5.86739 14.5268 41.1067
73 5.94945 13.3372 42.6689
74 6.03151 13.6153 44.3078
75 6.11357 12.0225 45.7944
76 6.19563 11.3133 47.2311
77 6.27769 11.1979 48.6911
78 6.35975 10.6599 50.1178
79 6.44181 9.75157 51.4567
80 6.52388 8.75756 52.69
81 6.60594 8.11946 53.8622
82 6.688 7.73356 55.0067
83 6.77006 7.02018 56.0711
84 6.85212 6.8227 57.1311
85 6.93418 6.46198 58.1589
86 7.01624 6.2004 59.1689
87 7.09831 5.71293 60.1211
88 7.18037 5.50505 61.06
89 7.26243 5.51511 62.0222
90 7.34449 5.82709 63.0622
91 7.42655 5.55329 64.0756
92 7.50861 5.31888 65.0678
93 7.59067 5.27504 66.0733
94 7.67273 5.55818 67.1556
95 7.7548 5.43419 68.2367
96 7.83686 5.51756 69.3578
97 7.91892 5.50941 70.5011
98 8.00098 5.69113 71.7067
99 8.08304 5.52447 72.9011
100 8.1651 5.45038 74.1033
101 8.24716 5.44144 75.3278
102 8.32923 5.82876 76.6656
103 8.41129 5.86304 78.0378
104 8.49335 5.85882 79.4356
105 8.57541 5.63061 80.8056
106 8.65747 5.72608 82.2256
107 8.73953 5.71624 83.67
108 8.82159 5.4291 85.0678
109 8.90365 5.51223 86.5133
110 8.98572 5.38563 87.9522
111 9.06778 5.674 89.4956
112 9.14984 5.56399 91.0367
113 9.2319 5.42102 92.5656
114 9.31396 5.32656 94.0944
115 9.39602 5.14287 95.5967
116 9.47808 5.22217 97.1489
117 9.56015 4.94613 98.6444
118 9.64221 5.03592 100.193
119 9.72427 4.96841 101.748
120 9.80633 4.69392 103.241
121 9.88839 4.57032 104.72
122 9.97045 4.38741 106.163
123 10.0525 4.37572 107.627
124 10.1346 4.16261 109.041
125 10.2166 4.07043 110.447
126 10.2987 4.00579 111.852
127 10.3808 3.85478 113.227
128 10.4628 3.86582 114.627
129 10.5449 3.77262 116.014
130 10.6269 3.66695 117.384
131 10.709 3.47853 118.704
132 10.7911 3.59344 120.089
133 10.8731 3.43196 121.431
134 10.9552 3.31548 122.748
135 11.0372 3.17226 124.027
136 11.1193 3.12326 125.304
137 11.2014 3.13662 126.607
138 11.2834 2.93849 127.844
139 11.3655 2.7137 129.004
140 11.4476 2.95711 130.287
141 11.5296 2.82959 131.531
142 11.6117 2.56581 132.676
143 11.6937 2.57831 133.842
144 11.7758 2.58856 135.03
145 11.8579 2.49571 136.191
146 11.9399 2.31814 137.284
147 12.022 2.08887 138.283
148 12.104 2.33365 139.414
149 12.1861 2.1639 140.478
150 12.2682 2.00812 141.478
650000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0440071 0.00111111
35 2.83112 0.249696 0.00777778
36 2.91318 0.945429 0.0344444
37 2.99524 2.35198 0.104444
38 3.0773 3.60183 0.217778
39 3.15936 6.17247 0.422222
40 3.24142 8.82377 0.73
41 3.32348 10.7866 1.12556
42 3.40555 12.9844 1.62556
43 3.48761 14.3331 2.20444
44 3.56967 15.8143 2.87333
45 3.65173 17.3932 3.64333
46 3.73379 19.2543 4.53444
47 3.81585 18.8698 5.44667
48 3.89791 18.682 6.38889
49 3.97997 19.9886 7.44
50 4.06204 17.7876 8.41444
51 4.1441 19.4119 9.52111
52 4.22616 19.8098 10.6956
53 4.30822 19.2053 11.8789
54 4.39028 19.3797 13.1189
55 4.47234 19.6787 14.4256
56 4.5544 19.3109 15.7556
57 4.63647 20.3667 17.2089
58 4.71853 18.5966 18.5833
59 4.80059 18.822 20.0233
60 4.88265 19.1789 21.5411
61 4.96471 18.5252 23.0567
62 5.04677 17.7773 24.56
63 5.12883 18.4516 26.1711
64 5.21089 18.2201 27.8133
65 5.29296 18.0744 29.4944
