# Time-averaged data for fix msd_avg
# TimeStep c_msd_water[1] c_msd_water[2] c_msd_water[3] c_msd_water[4]
1037000 358.556 363.895 390.287 1112.74
1038000 357.587 362.777 389.824 1110.19
1039000 359.479 364.052 391.135 1114.66
1040000 360.088 363.749 391.207 1115.04
1041000 363.583 367.342 394.639 1125.56
1042000 364.79 369.418 397.493 1131.7
1043000 365.067 368.994 396.698 1130.76
1044000 366.644 369.899 397.075 1133.62
1045000 365.159 369.143 394.857 1129.16
1046000 364.532 369.441 395.766 1129.74
1047000 366.171 371.478 398.14 1135.79
1048000 368.345 373.625 400.294 1142.27
1049000 368.815 373.408 400.031 1142.25
1050000 370.242 375.775 400.712 1146.73
1051000 371.074 376.151 401.081 1148.3
1052000 371.51 376.529 401.563 1149.6
1053000 371.436 375.939 401.208 1148.58
1054000 374.35 377.792 403.929 1156.07
1055000 373.035 376.982 403.243 1153.26
1056000 373.389 378.586 405.386 1157.36
1057000 376.02 380.508 408.039 1164.57
1058000 376.884 381.162 409.859 1167.9
1059000 376.109 382.209 408.998 1167.32
1060000 376.849 384.108 410.773 1171.73
1061000 378.681 386.074 413.436 1178.19
1062000 380.277 385.818 414.937 1181.03
1063000 382.241 385.085 416.223 1183.55
1064000 383.046 385.634 417.383 1186.06
1065000 383.59 386.512 419.652 1189.76
1066000 385.394 387.767 420.248 1193.41
1067000 386.598 390.385 421.941 1198.92
1068000 386.103 390.663 422.313 1199.08
1069000 387.674 391.874 422.992 1202.54
1070000 389.652 393.964 426.329 1209.95
1071000 388.066 392.407 424.415 1204.89
1072000 388.267 392.25 425.612 1206.13
1073000 389.281 395.827 425.543 1210.65
1074000 391.659 398.132 427.837 1217.63
1075000 390.968 398.346 426.703 1216.02
1076000 391.306 398.285 426.436 1216.03
1077000 391.863 397.957 425.743 1215.56
1078000 391.699 399.285 425.96 1216.94
1079000 392.043 401.397 426.771 1220.21
1080000 393.189 401.814 427.195 1222.2
1081000 395.57 403.927 430.183 1229.68
1082000 396.508 405.495 430.632 1232.63
1083000 398.175 406.122 429.466 1233.76
1084000 400.665 407.583 431.75 1240
1085000 402.124 408.554 432.98 1243.66
1086000 403.527 408.092 432.955 1244.57
1087000 402.801 407.811 433.562 1244.17
1088000 403.203 407.352 433.762 1244.32
1089000 403.808 408.704 432.954 1245.47
1090000 402.987 410.947 434.803 1248.74
1091000 403.751 413.931 434.294 1251.98
1092000 405.324 415.921 436.188 1257.43
1093000 405.142 416.902 437.65 1259.69
1094000 406.17 416.179 439.761 1262.11
1095000 406.027 416.365 442.012 1264.4
1096000 406.902 417.102 443.26 1267.26
1097000 408.653 420.572 445.998 1275.22
1098000 410.524 423.484 447.135 1281.14
1099000 408.247 423.836 443.811 1275.89
1100000 408.97 425.496 444.066 1278.53
